City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,port alfred,-33.5906,26.891,18.99,93,100,1.34,ZA,1682380531
148,butaritari,3.0707,172.7902,27.92,79,50,6.71,KI,1682380531
149,fort smith,35.3859,-94.3986,19.18,36,52,3.8,US,1682380531
150,tabou,4.423,-7.3528,27.09,86,100,2.66,CI,1682380532
151,nanakuli,21.3906,-158.1547,28.97,78,100,2.06,US,1682380532
152,raymondville,26.4815,-97.7831,23.06,76,89,4.46,US,1682380532
153,ponta do sol,32.6667,-17.1,18.73,72,98,1.09,PT,1682380532
154,tuatapere,-46.1333,167.6833,13.52,76,99,6.2,NZ,1682380533
155,bathsheba,13.2167,-59.5167,26.69,74,91,4.02,BB,1682380533
156,narsaq,60.9167,-46.05,0.1,88,34,2.51,GL,1682380533
157,kibi,6.1649,-0.5538,23.49,95,98,0.7,GH,1682380534
158,sakhon nakhon,17.1612,104.1472,23.97,94,11,0.51,TH,1682380369
159,lahij,13.1667,44.5833,26.24,62,52,1.71,YE,1682380534
160,goure,13.9835,10.2704,28.28,35,100,3.69,NE,1682380534
